frame.time_epoch,frame.len
10.153971000,1502
10.156374000,1502
10.158777000,1502
10.161180000,1502
10.163584000,1502
10.165987000,1502
10.168390000,1502
10.170793000,1502
10.173196000,1502
10.254247000,1502
10.256650000,1502
10.259172000,1502
10.261575000,1502
10.263978000,1502
10.266381000,1502
10.268784000,1502
10.271188000,1502
10.273591000,1502
10.275994000,1502
10.278397000,1502
10.280800000,1502
10.283204000,1502
10.285607000,1502
10.288010000,1502
10.290413000,1502
10.292816000,1502
10.295220000,1502
10.297623000,1502
10.300026000,1502
10.357000000,1502
10.359403000,1502
10.361931000,1502
10.364334000,1502
10.366737000,1502
10.369140000,1502
10.371544000,1502
10.373947000,1502
10.376350000,1502
10.378753000,1502
10.381156000,1502
10.383560000,1502
10.385963000,1502
10.388366000,1502
10.390769000,1502
10.393172000,1502
10.395576000,1502
10.397979000,1502
10.400382000,1502
10.402785000,1502
10.405188000,1502
10.407592000,1502
10.409995000,1502
10.412398000,1502
10.414801000,1502
10.417204000,1502
10.419608000,1502
10.422011000,1502
10.424414000,1502
10.426817000,1502
10.429220000,1502
10.431624000,1502
10.434027000,1502
10.436430000,1502
10.438833000,1502
10.441236000,1502
10.443640000,1502
10.446043000,1502
10.448446000,1502
10.450849000,1502
10.459752000,1502
10.462155000,1502
10.464559000,1502
10.466962000,1502
10.469365000,1502
10.471768000,1502
10.474171000,1502
10.476575000,1502
10.478978000,1502
10.481381000,1502
10.483784000,1502
10.486187000,1502
10.488591000,1502
10.490994000,1502
10.493397000,1502
10.495800000,1502
10.498203000,1502
10.500607000,1502
10.503010000,1502
10.505413000,1502
10.507816000,1502
10.510219000,1502
10.512623000,1502
10.515026000,1502
10.517429000,1502
10.519832000,1502
10.522235000,1502
10.524639000,1502
10.527042000,1502
10.529445000,1502
10.531848000,1502
10.534251000,1502
10.536655000,1502
10.539058000,1502
10.541461000,1502
10.543864000,1502
10.546267000,1502
10.548671000,1502
10.551074000,1502
10.553477000,1502
10.555880000,1502
10.558283000,1502
10.560687000,1502
10.563090000,1502
10.565493000,1502
10.567896000,1502
10.570299000,1502
10.572703000,1502
10.575106000,1502
10.577509000,1502
10.579912000,1502
10.582315000,1502
10.584719000,1502
10.587122000,1502
10.589525000,1502
10.591928000,1502
10.594331000,1502
10.596735000,1502
10.599138000,1502
10.601541000,1502
10.603944000,1502
10.606347000,1502
10.608751000,1502
10.611154000,1502
10.613557000,1502
10.615960000,1502
10.618363000,1502
10.620767000,1502
10.623170000,1502
10.625573000,1502
10.627976000,1502
10.630379000,1502
10.632783000,1502
10.635186000,1502
10.637589000,1502
10.639992000,1502
10.642395000,1502
10.644799000,1502
10.647202000,1502
10.649605000,1502
10.652008000,1502
10.654411000,1502
10.656815000,1502
10.659218000,1502
10.661621000,1502
10.664024000,1502
10.666427000,1502
10.668831000,1502
10.671234000,1502
10.673637000,1502
10.676040000,1502
10.678443000,1502
10.680847000,1502
10.683250000,1502
10.685653000,1502
10.709685000,1502
10.868296000,1502
10.873103000,1502
10.877909000,1502
10.882715000,1502
10.887522000,1502
10.892328000,1502
10.897135000,1502
10.901941000,1502
10.906747000,1502
10.909151000,1502
10.925973000,1502
10.928376000,1502
10.930779000,1502
10.933183000,1502
11.228226000,1502
11.230630000,1502
11.233033000,1502
11.235436000,1502
11.237839000,1502
11.240242000,1502
11.242646000,1502
11.245049000,1502
11.247452000,1502
11.249855000,1502
11.252258000,1502
11.254662000,1502
11.257065000,1502
11.259468000,1502
11.261871000,1502
11.264274000,1502
11.266678000,1502
11.269081000,1502
11.271484000,1502
11.273887000,1502
11.276290000,1502
11.278694000,1502
11.281097000,1502
11.283500000,1502
11.285903000,1502
11.288306000,1502
11.290710000,1502
11.293113000,1502
11.295516000,1502
11.297919000,1502
